HRB #,District Contributor ID,Name of Historic Site or Structure,APN,Street #,Street Name,City ,Zip Code,Comm. Plan Area,Neighborhood,Date Designated ,Designation Criteria,Other Inventory Listings,Architectural Style,"Year Built",Architect and/or Builder,Historic Individ,Historic District,Staff Report Number
526,526-129,Not Assigned,,,,,,,,,,,,,,,Burlingame  ,
526,526-130,Not Assigned,,,,,,,,,,,,,,,Burlingame  ,
526,526-131,Burlingame Voluntary/Traditional Historical District - Update 7,539-032-11,2426,Capitan Avenue,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Craftsman Bungalow,1919,,,Burlingame  ,HRB-07-006
526,526-132,Burlingame Voluntary/Traditional Historical District - Update 7,539-041-02,2475,Capitan Avenue,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Spanish Eclectic,1946,,,Burlingame  ,HRB-07-006
526,526-133,Burlingame Voluntary/Traditional Historical District - Update 7,539-041-14,2434,Dulzura Avenue,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Mission Revival,1934,,,Burlingame  ,HRB-07-006
526,526-134,Burlingame Voluntary/Traditional Historical District - Update 7,539-042-02,2455,Dulzura Avenue,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Craftsman Bungalow,1949,,,Burlingame  ,HRB-07-006
526,526-135,Burlingame Voluntary/Traditional Historical District - Update 7,539-033-11,3095,Kalmia Street,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Craftsman Bungalow,1948,,,Burlingame  ,HRB-07-006
526,526-136,Burlingame Voluntary/Traditional Historical District - Update 7,539-031-01,3005,Laurel Street,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Craftsman Bungalow,~1920s,,,Burlingame  ,HRB-07-006
526,526-137,Burlingame Voluntary/Traditional Historical District - Update 7,539-041-01,3109,Laurel Street,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Ranch with Colonial Revival influences,1940,,,Burlingame  ,HRB-07-006
526,526-138,Burlingame Voluntary/Traditional Historical District - Update 7,453-724-02,3145,Maple Street,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Spanish Colonial Revival,1925,,,Burlingame  ,HRB-07-006
526,526-139,Burlingame Voluntary/Traditional Historical District - Update 7,453-722-17,3154,Maple Street,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Craftsman Bungalow,1931,,,Burlingame  ,HRB-07-006
526,526-140,Burlingame Voluntary/Traditional Historical District - Update 7,453-722-14,3170,Maple Street,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Craftsman,1912,,,Burlingame  ,HRB-07-006
526,526-141,Burlingame Voluntary/Traditional Historical District - Update 7,539-031-06,2414,San Marcos Avenue,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Spanish Colonial Revival,1945,,,Burlingame  ,HRB-07-006
526,526-142,Burlingame Voluntary/Traditional Historical District - Update 7,539-032-04,2445,San Marcos Avenue,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Tudor Revival,1923,,,Burlingame  ,HRB-07-006
526,526-143,Burlingame Voluntary/Traditional Historical District - Update 7,453-711-21,2526,San Marcos Avenue,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Spanish Colonial Revival,1927,,,Burlingame  ,HRB-07-006
526,526-144,Burlingame Voluntary/Traditional Historical District - Update 7,453-711-08,2531,San Marcos Avenue,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Spanish Colonial Revival,1922,,,Burlingame  ,HRB-07-006
526,526-145,Burlingame Voluntary/Traditional Historical District - Update 7,453-713-10,2537,San Marcos Avenue,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Craftsman Bungalow,1928,,,Burlingame  ,HRB-07-006
526,526-146,Burlingame Voluntary/Traditional Historical District - Update 7,453-711-27,2538,San Marcos Avenue,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Spanish Colonial Revival,1930,,,Burlingame  ,HRB-07-006
526,526-147,Burlingame Voluntary/Traditional Historical District - Update 7,453-722-02,2617,San Marcos Avenue,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Colonial Revival,1924,,,Burlingame  ,HRB-07-006
526,526-148,Burlingame Voluntary/Traditional Historical District - Update 7,453-722-09,2675,San Marcos Avenue,San Diego,92104,Greater North Park,Burlingame,1/25/07,F (Historical District),,Ranch,1952,,,Burlingame  ,HRB-07-006
526,526-149,Burlingame Voluntary/Traditional Historical District - Update 8,539-032-14,2454,Capitan Avenue,San Diego,92104,Greater North Park,Burlingame,7/26/07,F (Historical District),,Mission Revival,1935,,,Burlingame  ,HRB-07-038
526,526-150,Burlingame Voluntary/Traditional Historical District - Update 8,539-032-15,2464,Capitan Avenue,San Diego,92104,Greater North Park,Burlingame,7/26/07,F (Historical District),,Craftsman Bungalow,1921,,,Burlingame  ,HRB-07-038
526,526-151,Burlingame Voluntary/Traditional Historical District - Update 8,453-711-20,2524,San Marcos Avenue,San Diego,92104,Greater North Park,Burlingame,7/26/07,F (Historical District),,Craftsman Bungalow,1915,,,Burlingame  ,HRB-07-038
526,526-152,Burlingame Voluntary/Traditional Historical District - Update 9,539-032-09,2408,Capitan Avenue,San Diego,92104,Greater North Park,Burlingame,11/29/07,F (Historical District),,Art Deco,1922,,,Burlingame  ,HRB-07-076
526,526-153,Burlingame Voluntary/Traditional Historical District - Update 9,539-041-11,2406,Dulzura Avenue,San Diego,92104,Greater North Park,Burlingame,11/29/07,F (Historical District),,Spanish Colonial Revival,1950,,,Burlingame  ,HRB-07-076
526,526-154,Burlingame Voluntary/Traditional Historical District - Update 9,539-044-08,3171,Kalmia Street,San Diego,92104,Greater North Park,Burlingame,11/29/07,F (Historical District),,Prairie,1912,,,Burlingame  ,HRB-07-076
526,526-155,Burlingame Voluntary/Traditional Historical District - Update 9,453-711-06,3010,Laurel Street,San Diego,92104,Greater North Park,Burlingame,11/29/07,F (Historical District),,Mission Revival,1925,,,Burlingame  ,HRB-07-076
526,526-156,Burlingame Voluntary/Traditional Historical District - Update 9,453-711-07,3016,Laurel Street,San Diego,92104,Greater North Park,Burlingame,11/29/07,F (Historical District),,Prairie,1912,,,Burlingame  ,HRB-07-076
526,526-157,Burlingame Voluntary/Traditional Historical District - Update 9,453-711-08,3024,Laurel Street,San Diego,92104,Greater North Park,Burlingame,11/29/07,F (Historical District),,Mission Revival,1920,,,Burlingame  ,HRB-07-076
526,526-158,Burlingame Voluntary/Traditional Historical District - Update 9,453-713-22,3030,Laurel Street,San Diego,92104,Greater North Park,Burlingame,11/29/07,F (Historical District),,Mission Revival,1920's,,,Burlingame  ,HRB-07-076
526,526-159,Burlingame Voluntary/Traditional Historical District - Update 9,539-032-01,3031,Laurel Street,San Diego,92104,Greater North Park,Burlingame,11/29/07,F (Historical District),,Craftsman Bungalow,1922,,,Burlingame  ,HRB-07-076
526,526-160,Burlingame Voluntary/Traditional Historical District - Update 9,453-713-14,3134,Maple Street,San Diego,92104,Greater North Park,Burlingame,11/29/07,F (Historical District),,Craftsman Bungalow,1923,,,Burlingame  ,HRB-07-076
526,526-161,Burlingame Voluntary/Traditional Historical District - Update 9,453-722-13,3178,Maple Street,San Diego,92104,Greater North Park,Burlingame,11/29/07,F (Historical District),,Mission Revival,1924,,,Burlingame  ,HRB-07-076
526,526-162,Burlingame Voluntary/Traditional Historical District - Update 9,539-031-07,2424,San Marcos Avenue,San Diego,92104,Greater North Park,Burlingame,11/29/07,F (Historical District),,Mission Revival,1924,,,Burlingame  ,HRB-07-076
526,526-163,Burlingame Voluntary/Traditional Historical District - Update 9,539-032-03,2455,San Marcos Avenue,San Diego,92104,Greater North Park,Burlingame,11/29/07,F (Historical District),,Craftsman Bungalow,1923,,,Burlingame  ,HRB-07-076
526,526-164,Burlingame Voluntary/Traditional Historical District - Update 9,453-722-03,2625,San Marcos Avenue,San Diego,92104,Greater North Park,Burlingame,11/29/07,F (Historical District),,Craftsman Bungalow,1924,,,Burlingame  ,HRB-07-076
526,526-165,Burlingame Voluntary/Traditional Historical District - Update 9,453-722-06,2653,San Marcos Avenue,San Diego,92104,Greater North Park,Burlingame,11/29/07,F (Historical District),,Mission Revival,1928,,,Burlingame  ,HRB-07-076
526,526-166,Burlingame Voluntary/Traditional Historical District- Update 10,539-042-07,2405,Dulzura Avenue,San Diego ,92104,Greater North Park,Burlingame,11/19/10,F (Historical District),,Spanish Eclectic ,1924,,,Burlingame  ,HRB-10-0535
527,,Designation Overturned,,,,,,,,,,,,,,,,
528,,Dr. Harold C. & Frieda Daum Urey/Russell Forester House,350-240-11,7890,Torrey Lane,San Diego,92037,La Jolla,La Jolla,7/25/02,"A (Cultural Landscape);B (Historical Person);C (Architecture);D (Master Architect)",,Custom Residential Ranch,1954,"Russell Forester, Master Architect",,,
529,,Myrtle V. and George F. Reuter House,530-292-10,1570,Willow Street,San Diego,92106,Peninsula,Roseville/ Fleet Ridge,7/25/02,"A (Cultural Landscape);C (Architecture)",,Spanish Eclectic,1928,"Hustel and Haas, builders",,,P-02-119
530,,Edward T. Austin/McDonald-Applegarth House,452-659-01,2865,Albatross Street,San Diego,92103,Uptown,Bankers Hill,7/25/02,"B (Historic Person);D (Master Architect)",,Prairie with Craftsman influence,1911,"Kenneth McDonald, Jr. and George Adrian Applegarth, Master Architects",Edward T. Austin,,P-02-120
531,,James A. Creelman House,445-033-19,4656,North Avenue,San Diego,92103,Uptown,Hillcrest,7/25/02,"A (Cultural Landscape);C (Architecture)",,Craftsman,1908,,,,P-02-122
532,,The Baranov Family Residence,443-061-46,4395,Ampudia Street,San Diego,92103,Uptown,Mission Hills,8/22/02,"A (Cultural Landscape);B (Historical Person);C (Architecture)",,Spanish Eclectic,1927,"F.E. Young Company, builder",Nathan Baranov,,P-02-138
533,,Glen Fucheon/Douglas T. Kelley House,530-451-06,4423,Alhambra Street,San Diego,92107,Peninsula,Sunset Cliffs,8/22/02,"A (Cultural Landscape);B (Historical Person);C (Architecture)",,Rivera/Mediterranean ,c. 1929,,Douglas T. Kelley,,P-02-139
534,,The Frank H. and Margaret Burton/Milton P. Sessions House,452-331-10,1271,Brookes Terrace,San Diego,92103,Uptown,Hillcrest,8/22/02,"A (Cultural Landscape);D (Master Landscape Architect)",,"Spanish Eclectic, Designed Landscape ",1933,"Milton Sessions, Master Landscape Architect",,,P-02-140
535,,The Carlos B. and Blanche W. Livers House,452-672-09,2820,Dove Street,San Diego,92103,Uptown,Middletown,9/26/02,"A (Cultural Landscape);C (Architecture)",,Spanish Colonial Revival style with transitional California Ranch influences,1937,"Henry L. Landt, architect; A.L. & A.E. Dennstedt Building Co, builders",,,P-02-142
536,,The Bernard and Dora Junker/Rear Admiral Cyrus Cole House,450-346-06,2878,Rosecrans Street,San Diego,92106,Peninsula,Point Loma,9/26/02,"B (Historical Person);C (Architecture)",,Spanish Eclectic,1926,"Berhardt L. Junker, builder",Rear Admiral Cyrus W. Cole,,P-02-150
537,,The George J. Leovy/George S. Spohr House,533-161-02,2163,Brant Street,San Diego,92101,Uptown,Middletown,9/26/02,"A (Cultural Landscape);B (Master Architect)",,Folk Victorian style,1888,"George S. Sphor, Master Architect",,,P-02-151
538,,The Richard S. Woods House,438-162-09,4785,Panorama Drive,San Diego,92116,Greater North Park,University Heights,9/26/02,"A (Cultural Landscape);C (Architecture)",,California Bungalow style,1913,"Richard S. Woods, builder",,,P-02-152
539,,The George Gans Spec House #1,453-622-25,3036,33rd Street,San Diego,92104,Greater North Park,North Park,9/26/02,C (Architecture),,Craftsman Bungalow,1926,"George Gans, builder",,,P-02-153
540,,The Edwin and Anna Elizabeth McCrea House,453-312-08,3535,Texas Street,San Diego,92104,Greater North Park,North Park,9/26/02,C (Architecture),,Craftsman Bungalow,1924,"Peter Doelle, builder",,,P-02-155
541,,The Irvine and Flora Schulman House,443-061-39,4352,Trias Street,San Diego,92103,Uptown,Mission Hills,9/26/02,C (Architecture),,Spanish Eclectic and Pueblo Revival,1926,,,,P-02-156
542,,The Elizabeth Starr House,351-142-03,7115,Olivetas Avenue,San Diego,92037,La Jolla,La Jolla,9/26/02,C (Architecture),,Tudor Revival,1928,"F.E. Young Company, builder",,,P-02-159
543,,The Ideal Hotel,535-073-08,540-546,Third Avenue,San Diego,92101,Centre City,Marina,9/26/02,"A (Cultural Landscape);C (Architecture)",HRB #270-01,Mission Revival,1912,,,,P-02-166
544,,Designation Overturned,,,,,,,,,,,,,,,,
545,,The Colonol John Wretts and Helen Cecilia Hannay House,350-202-12,1414,Virginia Way,San Diego,92037,La Jolla,La Jolla,9/26/02,C (Architecture),,Folk Victorian style with Craftsman and Colonial Revival influences,1907,,,,P-02-157
546,,The Webster D. Crum Spec House #1,539-422-12,1446,Grove Street,San Diego,92102,Greater Golden Hill,South Park,9/26/02,C (Architecture),,American Four Square/Craftsman style,1912,"T.M Russell, builder",,,P-02-158
547,,The Delphine and Frank Leonard House,539-352-02,1619,Dale Street,San Diego,92102,Greater Golden Hill,South Park,9/26/02,C (Architecture),,Craftsman Bungalow,1911,"Pacific Building Company, builder",,,P-02-160
548,,Reuben Quartermass/ Charles O. Stensrud House & Carriage House,466-442-04,5602,Adams Avenue,San Diego,92115,College Area,Montezuma,9/26/02,"A (Cultural Landscape);B (Historical Person);C (Architecture)",,"Colonial Style, a variant of the vernacular American Four-Square",1907,,Charles O. Stensurd,,P-02-161
549,,E.W. Newman Spec House,453-531-32,3235,Granada Avenue,San Diego,92104,Greater North Park,North Park,10/24/02,C (Architecture),,Craftsman Bungalow with oriental influences,1912,"P.R. Pennington, builder",,,P-02-180
550,,Jack Rosenberg House        ,453-581-03,3021,28th Street,San Diego,92104,Greater North Park,North Park,10/24/02,B (Historical Person),,Spanish Eclectic,1927,"Martin J. Healey, builder",Jack Rosenberg,,P-02-181
551,,Cortis and Elizabeth Hamilton/ Richard S. Requa House,453-691-10,2840,Maple Street,San Diego,92104,Greater North Park,North Park,10/24/02,"C (Architecture);D (Master Architect)",,California Craftsman,1941,"Richard Requa, Master Architect",,,P-02-182
552,,Harry Okey House,357-383-17,5732,Bellevue Avenue,San Diego,92037,La Jolla,La Jolla,10/24/02,"A (Cultural Landscape);C (Architecture)",,Spanish Eclectic Style,1929,"Harry Okey, builder",,,P-02-183
553,,The Maurice F. and Marie D. Herschel House,443-211-31,4305,Hortensia Street,San Diego,92103,Uptown,Mission Hills,10/24/02,"A (Cultural Landscape);B (Historical Person);C (Architecture)",,Spanish Eclectic,1930,"William S. Birney, builder",Maurice and Marie Herschel,,P-02-184
554,,The James Dillon and Lenore Heller Forward/ Richard S. Requa-Milton Sessions House,"450-292-25450-292-24",3123,Zola Street,San Diego,92106,Peninsula,Point Loma,10/24/02,"A (Cultural Landscape);B (Historic Person);C (Architecture);D (Master Architect/Landscape)",,Spanish Eclectic,1927,"Richard Requa, Master Architect;Milton Sessions, Master Landscape Architect",James D. and Lenore Heller Forward,,P-02-185
555,,George Burnham House,450-151-11,2916,Chatsworth Boulevard,San Diego,92106,Peninsula,Point Loma,10/24/02,"A (Cultural Landscape);B (Historical Person)",,Prairie Style,1913,"Walter Keller, Master Architect",George Burnham,,P-02-187
556,,Winfield and Ella Sellers/ William Sterling Hebbard House,531-231-14,1055,Akron Street,San Diego,92106,Peninsula,Roseville/ Fleet Ridge,10/24/02,"C (Architecture);D (Master Architect)",,Modern,1915,"William Sterling Hebbard, Master Architect",,,P-02-188
557,,Ralph E. Jenney/ Walter S. Keller House,443-580-04,1945,Sunset Boulevard,San Diego,92103,Uptown,Mission Hills,10/24/02,"B (Historic Person);C (Architecture);D (Master Architect)",,Colonial Revival,1913,"Walter Keller, Master Architect",Ralph E. Jenney,,P-02-189
558,,Eldora Rudrauff House,453-415-05,3411,29th Street,San Diego,92104,Greater North Park,North Park,11/22/02,C (Architecture),,Craftsman,1919,"Edward F. Bryans, builder",,,P-02-209
559,,Fred and Mary Brachmann Spec House,443-251-26,2138,Hickory Street,San Diego,92103,Uptown,Mission Hills,11/22/02,C (Architecture),,Cratsman,1914,"Larkin Brothers, builders",,,P-02-210
560,,Henry and May Turner/ Herbert Mann-Thomas Shepherd House,357-041-19,391,Via del Norte,San Diego,92037,La Jolla,La Jolla,11/22/02,"C (Architecture);D (Master Architect)",,Spanish Eclectic,1928,"Herbert J. Mann and Thomas Shepherd, Master Architects",,,P-02-214
561,,Strand Theatre,448-191-06,4948,Newport Avenue,San Diego,92107,Ocean Beach,Ocean Beach,12/20/02,"A (Cultural Landscape);F (Historic District)",HRB# 442-064,Commercial,1925,,,,
562,,"Appealed; Partially Upheld1431-1463 J Street Buildings","535-373-06 &535-373-07;  535-396-01",1431-1463,J Street,San Diego,92101,Centre City,East Village,12/20/02,A (Cultural Landscape),,Fok Victorian style,1906-1920,,,,P-02-179
563,,J. Frank Dehm Apartment Buildings,"533-174-10 & 533-174-11",233-239,Hawthorn Street,San Diego,92101,Uptown,Middletown,12/20/02,C (Architecture),,Prarie/Modern,1912,,,,P-02-227
564,,Balboa Park Municipal Golf Course Clubhouse,534-450-08,2600,Golf Course Drive,San Diego,92102,Balboa Park,Balboa Park,12/20/02,"A (Cultural Landscape);B (Historical Event);C (Architecture)",,California Ranch Style,1934,,,,P-02-213
565,,Ocean Beach Library,448-301-12,4801,Santa Monica Avenue,San Diego,92107,Ocean Beach,Ocean Beach,12/20/02,"A (Cultural Landscape);C (Architecture);F (Historic District)",,Spanish/Monterey,1928,"Robert W. Snyder, architect",,,
566,,Thomas J. and Rosa Lee Gester House,465-043-02,5183,Bristol Road,San Diego,92116,Kensington-Talmadge,Kensington,12/20/02,"A (Cultural Landscape);C (Architecture)",,Spanish Eclectic,1928,"Paul L. McCoy, builder",,,P-02-186
567,,E.B. and Martha Stuart House,533-183-03,2355,Second Avenue,San Diego,92101,Uptown,Bankers Hill,1/23/03,"A (Cultural Landscape);C (Architecture)",,Craftsman,1909,"W.W. Harris, builder",,,P-03-002
568,,Albert and Rebecca Zundelowitz House,533-183-04,2341,Second Avenue,San Diego,92101,Uptown,Middletown,1/23/03,"A (Cultural Landscape);C (Architecture)",,Craftsman,1894,,,,P-03-003
569,,Forbes Requa Model house,440-041-08,5318,Canterbury Drive,San Diego,92116,Kensington-Talmadge,Kensington,1/23/03,"A (Cultural Landscape);C (Architecture);D (Master Architect)",,Spanish Eclectic,1931,"Richard Requa, Master Architect",,,P-03-004
570,,William T. MacDonald/Richard Requa House,352-213-01,7374,Romero Drive,San Diego,92037,La Jolla,La Jolla,2/27/03,"C (Architecture);D (Master Architect)",,Spanish Eclectic,1933,"Richard Requa, Master Architect",,,P-03-030
571,,Edward and Anna Potter House,539-156-09,2928,Grape Street,San Diego,92102,Greater Golden Hill,South Park,2/27/03,C (Architecture),,Craftsman w/Prairie style,1913,"William Burney Johnson, builder",,,P-03-031
572,,Mary Ward/Emmor Brooke Weaver House,443-611-14,1824,Sheridan Avenue,San Diego,92103,Uptown,Mission Hills,2/27/03,"B (Historic Person);C (Architecture);D (Master Architect)",HRB# 821-22,Craftsman Bungalow,1912,"Emmor Brooke Weaver, Master Architect",Mary Ward,,P-03-032
573,,James Wood Coffroth/Lincoln Rogers-Frank Stevenson House,450-142-03,2775,Chatsworth Boulevard,San Diego,92106,Peninsula,Point Loma,2/27/03,"A (Cultural Landscape);C (Architecture)",,Italian Renaissance Revival style,1923,,,,
574,,Florence Everingham House,450-322-07,3108,Elliott Street,San Diego,92106,Peninsula,Point Loma,2/27/03,"A (Cultural Landscape);C (Architecture)",,Spanish Eclectic / Monterey ,1930,,,,
575,,J. L. Brown Spec House,450-351-06,2858,Evergreen Street,San Diego,92106,Peninsula,Point Loma,2/27/03,"A (Cultural Landscape);C (Architecture)",,Prairie,1912,,,,
576,,Frank Guasti House,450-322-06,3105,Freeman Street,San Diego,92106,Peninsula,Point Loma,2/27/03,"A (Cultural Landscape);C (Architecture)",,Spanish Eclectic,1931,,,,
577,,Herbert Bathrick House,450-321-02,3211,Freeman Street,San Diego,92106,Peninsula,Point Loma,2/27/03,"A (Cultural Landscape);C (Architecture)",,Spanish Eclectic,1929,,,,
578,,Frank W. Stevenson House,450-338-01,3143,Goldsmith Street,San Diego,92106,Peninsula,Point Loma,2/27/03,"A (Cultural Landscape);B (Historical Person);C (Architecture)",,Spanish Eclectic/Mission Revival,1924,,,,
579,,William and Annie Simpson House,450-142-12,3252,Goldsmith Street,San Diego,92106,Peninsula,Point Loma,2/27/03,"A (Cultural Landscape);C (Architecture)",,Prairie,1913,,,,
580,,Hal Huldah Hotchkiss House,450-323-01,2677,Locust Street,San Diego,92106,Peninsula,Point Loma,2/27/03,"A (Cultural Landscape);C (Architecture)",,Colonial Revival,1936,,,,
581,,Edwina Bellinger/David O. Dryden House,438-162-03,2203,Cliff Street,San Diego,92116,Greater North Park,University Heights,3/27/03,C (Architecture),,Craftsman Bungalow,1913,"David O. Dryden, Master Builder ",,,
582,,George and Amelia Videan House,452-611-01,135,West Spruce Street,San Diego,92103,Uptown,Middletown,3/27/03,C (Architecture),,Italianate with     Spanish Eclectic   addition,1923,,,,
583,,Neil Brown/Martin V. Melhorn House,443-472-01,4195,Palmetto Way,San Diego,92103,Uptown,Mission Hills,4/24/03,"B (Historic Person);C (Architecture);D (Master Architect)",,"Craftsman Bungalow with ""Japanese Eybrow Temple"" variant",1921,,,,
584,,E. E. Leighninger House,539-352-03,1611,Dale Street,San Diego,92102,Greater Golden Hill,South Park,4/24/03,C (Architecture),,Crafstman with Swiss Chalet influences,1911,,,,
585,,Colonel Howard Tatum/Richard Requa House,449-692-13,2650,Jonquil Drive,San Diego,92106,Peninsula,Point Loma,4/24/03,"C (Architecture);D (Master Architect)",,Spanish Revival,1926,"Richard Requa, Master Architect",,,
586,,Marion Townley House,451-071-16,3838,Goldsmith Street,San Diego,92103,Uptown,Mission Hills,4/24/03,C (Architecture),,"Craftsman, single story",1922,,,,
587,,Mittie Churcher House,350-191-18,1265,Park Row,San Diego,92037,La Jolla,La Jolla,5/22/03,"A (Cultural Landscape);C (Architecture)",,English Cottage variant of Tudor Revival,1922,,,,
588,,Chris Cosgrove House,440-041-09,5310,Canterbury Drive,San Diego,92116,Kensington-Talmadge,Kensington,5/22/03,"B (Historic Person);C (Architecture)",,Custom Residential Ranch,1949,Chris Cosgrove,,,
589,,Herbert and Ira Howe House,452-055-51-01,3821,First Avenue,San Diego,92103,Uptown,Hillcrest,5/29/03,C (Architecture),,"Craftsman, single story",1912,,,,
590,,Hiatt Family House,535-126-03,447,Ninth Avenue,San Diego,92101,Centre City,East Village,5/22/03,C (Architecture),,Folk Victorian,C. 1886,,,,
591,,James Gibson Spec House #1,465-032-05,4241,Hillside Drive,San Diego,92116,Kensington-Talmadge,Kensington,6/26/03,C (Architecture),,Spanish Electic,1928,,,,
592,,John and Amy Ballinger House,465-310-08,4730,Vista Street,San Diego,92116,Kensington-Talmadge,Kensington,6/26/03,C (Architecture),,"Tudor style, English Cottage variant",1925,,,,
593,,Katherine H. Wagenhals/Joel Brown House,443-401-12,2124,Sunset Boulevard,San Diego,92103,Uptown,Mission Hills,6/26/03,"B (Historic Person);C (Architecture);D (Master Architect)",,Craftsman,1913,,,,
594,,Edgar Davies House,443-462-01,1753,West Lewis Street,San Diego,92103,Uptown,Mission Hills,6/26/03,B (Historic Person),HRB# 822-76,Craftsman,1913,,,,
595,,Stephen and Anna Connell/Henry Harms Preibusius House,443-620-17,1877,Lyndon Road,San Diego,92103,Uptown,Mission Hills,6/26/03,"C (Architecture);D (Master Architect)",HRB# 821-13,Prairie,1913,,,,
596,,Carlos Tavares/Herbert Mann House,352-363-05,6425,Muirlands Drive,San Diego,92037,La Jolla,La Jolla,6/26/03,"B (Historic Person);C (Architecture);D (Master Architect)",,Spanish Eclectic,C. 1931,,,,
597,,"Charles ""Dick"" Bowman House",440-022-09,5309,Marlborough Drive,San Diego,92116,Kensington-Talmadge,Kensington,6/26/03,"B (Historic Person);C (Architecture)",,Spanish Eclectic,1929,,,,
598,,Charles and Bernice Kelly House,451-474-05,3305,State Street,San Diego,92103,Uptown,Middletown,6/26/03,C (Architecture),,Spanish Eclectic,1932,,,,
599,,William and Eleanor McCaskey House,452-538-30,3320,Second Avenue,San Diego,92103,Uptown,,6/26/03,C (Architecture),,Colonial Revival with Craftsman & Four Square influences,C. 1909,,,,
600,,Richard Hathaway Spec House #1,443-282-04,1833,Altamira Place,San Diego,92103,Uptown,Mission Hills,7/31/03,C (Architecture),,Spanish Eclectic,1925,,,,
601,,Jacob Haas Spec House #1,442-701-08,2430,Presidio Drive,San Diego,92103,Uptown,Mission Hills,8/28/03,"A (Cultural Landscape);C (Architecture)",,Spanish Eclectic,1930,,,,
602,,Elmer L. Kier House,443-484-06,4101,Randolph Street,San Diego,92103,Uptown,Mission Hills,8/28/03,"B (Historical Person);C (Architecture)",,Japanese Temple eybrow variant of Craftsman style,1919,,Elmer L. Kier,,
603,,H. M. and Isabel Jones House,453-832-02,2704,Gregory Street,San Diego,92104,Greater North Park,North Park,8/28/03,C (Architecture),,Spanish Eclectic,1930,,,,
604,,William and Minerva Welton Spec House #1 (QHP),450-324-03,3021,Elliott Street,San Diego,92106,Peninsula,Point Loma,8/28/03,"A (Cultural Landscape);C (Architecture)",,Spanish Eclectic,1926,,,,
605,,Dr. William Cooke House (QHP),450-322-09,3130,Elliott Street,San Diego,92106,Peninsula,Point Loma,8/28/03,"A (Cultural Landscape);B (Historical Person)",,Spanish Eclectic,1926,,Dr. William Cooke,,
606,,Rear Admiral Charles Hartman/Pear Pearson House (QHP),450-323-03,3027,Freeman Street,San Diego,92106,Peninsula,Point Loma,8/28/03,"A (Cultrual Landscape);B (Historical Person);C (Architecture);D (Master Builder)",,Spanish Eclectic,1935,"Pear Pearson of Pearson Construction Company, Master Builder",Rear Admiral Charles Hartman,,
607,,Lillian Bonifils House (QHP),450-343-02,3035,Kingsley Street,San Diego,92106,Peninsula,Point Loma,8/28/03,"A (Cultural Landscape);C (Architecture)",,Spanish Eclectic,1925,,,,
608,,Godfrey and Emily Strobeck Spec House #1,539-054-01,2405,32nd Street,San Diego,92104,Greater North Park,,9/25/03,"A (Cultural Landscape);C (Architecture)",,Tudor Eclectic,1926,,,,
609,,Josephine Shields House,453-691-02,2639,28th Street,San Diego,92104,Greater North Park,,9/25/03,C (Architecture),,Spanish Eclectic,1923,,,,
610,,Elmo and Angeline Crabtree Spec House #1,465-070-13,4210,Norfolk Terrace,San Diego,92116,Kensington-Talmadge,Kensington,9/25/03,"A (Cultural Landscape);C (Architecture)",,Spanish Eclectic,1928,,,,
611,,William E. Kier House,443-250-07,2252,Fort Stockton Drive,San Diego,92103,Uptown,Mission Hills,9/25/03,"B (Historical Person);C (Architecture)",HRB# 822-48,Craftsman,1913-14,"Morris B. Irvin, builder",William E. Kier,,
612,,Peter Price/Irving Gill Spec House #1,539-403-02,1345,Granada Avenue,San Diego,92102,Greater Golden Hill,,9/25/03,"C (Architecture);D (Master Architect)",,Prairie,1909,,,,
613,,Alfred LaMotte/Hurlburt and Tifal House,452-402-03,3557,Third Avenue,San Diego,92103,Uptown,,9/25/03,"B (Historic Person);C (Architecture);D (Master Architect)",,Tudor Revival,1925,,Alfred LaMotte,,
614,,Mary Hill House,443-482-03,4171,Ingalls Street,San Diego,92103,Uptown,Mission Hills,9/25/03,C (Architecture),,Craftsman,1912,,,,
615,,Richard Olney/Sim Bruce Richards House,350-392-01,1644,Crespo Drive,San Diego,92037,La Jolla,La Jolla,9/25/03,"C (Architecture);D (Master Architect)",,Post and Beam Modern,1954,Sim Bruce Richards,,,
